add_model,workspace_dir,conversation_idx,session_index,delta_count,session_score,rubric_grounded_in_context,rubric_correct_attribution,rubric_correct_temporal_framing,rubric_no_contradictory_delta,rubric_truly_incremental,rubric_no_history_leakage_as_new,rubric_no_redundant_delta_items,rubric_covers_salient_session_updates,rubric_covers_salient_plans_and_state_changes
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,1,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,2,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,3,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,4,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,5,5,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,6,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,7,7,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,8,8,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,9,7,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,10,9,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,11,7,1.0,1,1,1,1,1,1,1,1,1
gemini,E:\cydd_own_products\memorax-test-locomo-enrichment-append-merge-mmwrite-audit\evaluation_pipeline\v5\workspaces\allconv_v5_gemini,0,12,7,1.0,1,1,1,1,1,1,1,1,1
